DateTime,Uid,Tweet,Label (Specialist),HashTag
2021-05-18 7:24:39,a38755f80aee,ถ้าฉันตายไปจริงๆก็คงดีสินะ,2,#โรคซึมเศร้า
2021-05-20 16:06:12,a38755f80aee,เหนื่อยเหนื่อยจนจะตายอยู่แล้วมันไมกันนะนั่งเล่นเฉยๆหัวเราะอยู่ดีๆมันก็ดิ่งขึ้นมา,1,#โรคซึมเศร้า
2021-06-16 7:00:59,9b7d113b270a,พยายามที่จะมีชีวิตอยู่แต่ก็เหนื่อยกับโลกนี้เหลือเกินเหนื่อกับการใช้ชีวิตตอนนี้ฉันเหนื่อยเหนื่อยมากจริงๆ,1,#โรคซึมเศร้า
2021-05-28 18:43:41,0b981040c16d,ชีวิตก็มีอยู่แค่นี้อยากหายไปแล้วนะ,1,#โรคซึมเศร้า
2021-07-13 18:06:11,937c5794646d,วันวุ่นๆของวัยรุ่นกินยาเกินขนาดกรีดแขนพร้อม,5,#โรคซึมเศร้า
2021-06-01 5:47:16,57f512e6bc53,เมื่อไหร่นะที่หายไปจากโลกนี้ชีวิตแม่งไร้ค่า,1,#โรคซึมเศร้า
2021-05-20 15:51:43,63f76b567278,อยากตาย,1,#โรคซึมเศร้า
2021-07-19 16:27:01,c37c041e1dd4,อยากตายๆไปซะครอบครัวจะได้รักกูซักที,1,#โรคซึมเศร้า
2021-05-30 20:12:52,cba844c4b3ec,เวลาทนความเจ็บปวดไม่ไหวแล้วชอบทำร้ายตัวเองแก้ยังไงดีคะ,5,#โรคซึมเศร้า
2021-06-01 19:39:11,cba844c4b3ec,หาซื้อไซยาไนด์ครับไม่ก็ปืนถูกๆก็ได้ใครมีร้านที่พอจะรู้ช่วยมาหน่อยครับ,4,#โรคซึมเศร้า
2021-05-31 7:34:58,cba844c4b3ec,เหนื่อยแล้วตายยังไงเจ็บน้อยสุดอะ,3,#โรคซึมเศร้า
2021-09-02 9:45:22,e7b97df2790a,เราเหนื่อยเมื่อไหร่จะหลุดพ้นอะไรแบบนี้สักที,1,#ความสุขที่หายไป #ซึมเศร้า #ซึมเศร้าเพื่อนรัก
2021-05-21 1:50:53,873e1b3ad2b3,ไม่มีใครอยากตายหรอกเขาแค่กลัวการมีชีวิตเท่านั้นเอง,1,#โรคซึมเศร้า #ไบโพลาร์
2021-09-04 8:20:40,13e1d3929b31,มีอะไรที่ทำให้หายไปโดยที่ไม่ต้องฆ่าตัวตายมั้ยอยากจบชีวิตเอาไว้ตรงนี้เหนื่อย,1,#โรคซึมเศร้า
2021-09-04 8:16:39,13e1d3929b31,ไม่น่าเกิดมาเลยเบื่อเกลียดตัวเองชิบหาย,1,#โรคซึมเศร้า
2021-09-11 6:14:44,13e1d3929b31,ใกล้ถึงวันเกิดตัวเองแล้วสินะฆ่าตัวตายในวันเกิดดีมั้ยนะ,3,#โรคซึมเศร้า
2021-09-13 9:35:13,13e1d3929b31,ขอโทษนะที่เกิดมาไร้ค่าขนาดนี้,1,#โรคซึมเศร้า
